,popularity,action,adventure,science_fiction,thriller,fantasy,crime,western,drama,family,animation,comedy,mystery,romance,war,history,music,horror,documentary,tv_movie,foreign
65,2.354654,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,2.345821,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
67,2.331636,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,2.3315669999999997,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
69,2.31767,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
70,2.29573,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
71,2.28135,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,2.2720439999999997,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,2.234573,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
74,2.165433,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,2.141506,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
76,2.140199,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
77,2.121884,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
78,2.096273,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
79,2.0809349999999998,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
80,2.070708,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
81,2.060162,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
82,2.055572,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
83,2.049886,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
84,2.0266509999999998,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
85,2.000338,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
86,1.984529,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
87,1.9800389999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
88,1.9597650000000002,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
89,1.95632,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,1.926739,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
91,1.904898,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,1.876037,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,1.872696,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,1.865007,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
95,1.841779,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
96,1.82313,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
97,1.758618,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
98,1.742286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
99,1.73518,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
100,1.7247119999999898,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
